5095.87	5066.97	5075.45	5091.54	5084.94	5081.56	5089.14	5091.94	5084.68	5067.34	5087.09	5100.21	5082.88	5082.84	5078.53	5067.82	5092.27	5076.39	5086.46	5081.35	
5066.97	5064.17	5055.36	5070.45	5064.68	5061.61	5067.45	5070.44	5065.42	5047.2	5069.06	5077.74	5064.2	5063.1	5059.97	5049.06	5075.2	5060.69	5059.16	5062.7	
5075.45	5055.36	5070.2	5071.82	5070.9	5068.2	5073.57	5076.52	5070.4	5053.07	5072.35	5082.78	5068	5068.98	5064.6	5054.7	5077.05	5065.27	5068.42	5067.12	
5091.54	5070.45	5071.82	5106.85	5086.93	5085.61	5091.05	5094.03	5087.54	5067.57	5091.42	5101.71	5086.82	5080.78	5082.43	5071.19	5097.12	5081.37	5086.7	5084	
5084.94	5064.68	5070.9	5086.93	5087.37	5076.7	5083.4	5086.01	5081.2	5059.62	5083.46	5094.24	5079.69	5079.56	5074.29	5064.72	5089.97	5075.19	5077.56	5075.63	
5081.56	5061.61	5068.2	5085.61	5076.7	5085.32	5082.21	5084.16	5076.56	5060.64	5081.16	5091.36	5076.76	5073.2	5073.26	5059.52	5086.92	5072.8	5076.97	5074.51	
5089.14	5067.45	5073.57	5091.05	5083.4	5082.21	5094.44	5090.85	5081.89	5064.89	5086.15	5095.82	5082.82	5080.93	5076.63	5066.65	5091.27	5079.01	5082.08	5079.65	
5091.94	5070.44	5076.52	5094.03	5086.01	5084.16	5090.85	5099.09	5085.62	5066.78	5087.75	5101.54	5085.36	5083.9	5081.37	5070.02	5096.04	5077.68	5084.9	5083.65	
5084.68	5065.42	5070.4	5087.54	5081.2	5076.56	5081.89	5085.62	5087.12	5059.61	5082.87	5093.55	5078.7	5078.26	5069.98	5063.28	5088.69	5073.6	5078.73	5076.33	
5067.34	5047.2	5053.07	5067.57	5059.62	5060.64	5064.89	5066.78	5059.61	5055.85	5060.14	5075.09	5061.07	5056.03	5057.77	5047.95	5069.94	5052.71	5061.92	5059.14	
5087.09	5069.06	5072.35	5091.42	5083.46	5081.16	5086.15	5087.75	5082.87	5060.14	5096.11	5096.07	5083.48	5078.43	5077.22	5065.37	5093.86	5078.17	5080.09	5079.42	
5100.21	5077.74	5082.78	5101.71	5094.24	5091.36	5095.82	5101.54	5093.55	5075.09	5096.07	5116.78	5092.59	5088.97	5089.34	5075.92	5103.25	5087.61	5091.89	5090.58	
5082.88	5064.2	5068	5086.82	5079.69	5076.76	5082.82	5085.36	5078.7	5061.07	5083.48	5092.59	5081.98	5074.17	5073.49	5063.75	5088.19	5072.62	5077.37	5076.36	
5082.84	5063.1	5068.98	5080.78	5079.56	5073.2	5080.93	5083.9	5078.26	5056.03	5078.43	5088.97	5074.17	5083.7	5069.3	5059.72	5083.48	5072.47	5074.47	5073.92	
5078.53	5059.97	5064.6	5082.43	5074.29	5073.26	5076.63	5081.37	5069.98	5057.77	5077.22	5089.34	5073.49	5069.3	5074.94	5057.7	5084.27	5069.2	5073.02	5070.93	
5067.82	5049.06	5054.7	5071.19	5064.72	5059.52	5066.65	5070.02	5063.28	5047.95	5065.37	5075.92	5063.75	5059.72	5057.7	5059.83	5065.61	5059.01	5063.13	5061.67	
5092.27	5075.2	5077.05	5097.12	5089.97	5086.92	5091.27	5096.04	5088.69	5069.94	5093.86	5103.25	5088.19	5083.48	5084.27	5065.61	5112.12	5078.13	5085.62	5085.21	
5076.39	5060.69	5065.27	5081.37	5075.19	5072.8	5079.01	5077.68	5073.6	5052.71	5078.17	5087.61	5072.62	5072.47	5069.2	5059.01	5078.13	5080.24	5071.41	5071.04	
5086.46	5059.16	5068.42	5086.7	5077.56	5076.97	5082.08	5084.9	5078.73	5061.92	5080.09	5091.89	5077.37	5074.47	5073.02	5063.13	5085.62	5071.41	5086.44	5073.16	
5081.35	5062.7	5067.12	5084	5075.63	5074.51	5079.65	5083.65	5076.33	5059.14	5079.42	5090.58	5076.36	5073.92	5070.93	5061.67	5085.21	5071.04	5073.16	5079.37	
